x,y,s,id,cnt
0,32768,16384,1,1995
0,49152,16384,1,1995
16384,49152,16384,1,1995
49152,32768,16384,1,1954
32768,49152,16384,1,1954
49152,49152,16384,1,1954
49152,16384,16384,1,947
0,49152,16384,1,37
16384,49152,16384,1,575
32768,32768,16384,1,2823
49152,32768,16384,1,2823
32768,49152,16384,1,2823
0,0,16384,1,1438
16384,0,16384,1,1438
32768,0,16384,1,3564
49152,0,16384,1,3564
32768,16384,16384,1,3564
49152,16384,16384,1,3564
49152,0,16384,1,11
0,0,16384,1,3055
16384,0,16384,1,3055
16384,16384,16384,1,3055
0,0,16384,1,2627
16384,0,16384,1,2627
0,16384,16384,1,2627
32768,0,16384,1,3846
49152,0,16384,1,3846
32768,16384,16384,1,3846
49152,16384,16384,1,3846
0,0,16384,1,3091
16384,0,16384,1,3091
0,16384,16384,1,3091
16384,16384,16384,1,3091
32768,0,16384,1,3820
49152,0,16384,1,3820
49152,0,16384,1,2680
32768,16384,16384,1,2680
49152,16384,16384,1,2680
0,32768,16384,1,2
16384,32768,16384,1,2404
0,49152,16384,1,2404
16384,49152,16384,1,2404
32768,32768,16384,1,1022
0,0,16384,1,3295
16384,0,16384,1,3295
0,16384,16384,1,3295
0,0,16384,1,2282
0,16384,16384,1,2282
16384,16384,16384,1,2282
32768,0,16384,1,3429
49152,0,16384,1,3429
49152,16384,16384,1,3429
16384,32768,16384,1,853
32768,32768,16384,1,2973
32768,49152,16384,1,2973
49152,49152,16384,1,2973
0,0,16384,1,697
49152,0,16384,1,721
0,16384,16384,1,739
0,32768,16384,1,2826
16384,32768,16384,1,2826
16384,49152,16384,1,2826
0,49152,16384,1,1
32768,49152,16384,1,1003
49152,49152,16384,1,185
49152,0,16384,1,3171
32768,16384,16384,1,3171
49152,16384,16384,1,3171
0,32768,16384,1,3195
16384,32768,16384,1,3195
0,49152,16384,1,3195
16384,49152,16384,1,3195
32768,32768,16384,1,32
49152,32768,16384,1,1474
32768,49152,16384,1,1474
49152,49152,16384,1,1474
0,0,16384,1,3288
16384,0,16384,1,3288
0,16384,16384,1,3288
16384,16384,16384,1,3288
32768,0,16384,1,2202
49152,0,16384,1,2202
49152,16384,16384,1,2202
32768,0,16384,1,3261
49152,0,16384,1,3261
32768,16384,16384,1,3261
0,0,16384,1,353
0,0,16384,1,3772
16384,0,16384,1,3772
0,16384,16384,1,3772
16384,16384,16384,1,3772
32768,0,16384,1,1616
49152,0,16384,1,1616
0,0,16384,1,3774
16384,0,16384,1,3774
16384,16384,16384,1,1860
32768,0,16384,1,3042
49152,0,16384,1,3042
32768,16384,16384,1,3042
49152,16384,16384,1,3042
32768,0,16384,1,3132
49152,0,16384,1,3132
32768,16384,16384,1,3132
0,32768,16384,1,1960
16384,32768,16384,1,1960
0,49152,16384,1,1960
49152,32768,16384,1,59
0,0,16384,1,3691
16384,0,16384,1,3691
16384,16384,16384,1,3691
0,16384,16384,1,181
32768,0,16384,1,1468
32768,16384,16384,1,1468
49152,16384,16384,1,1468
0,32768,16384,1,1746
16384,32768,16384,1,1746
0,49152,16384,1,1746
32768,32768,16384,1,1827
49152,32768,16384,1,1827
49152,49152,16384,1,1827
Infinity,Infinity,5,-2,0
524018.2559451188,43652.671583431686,5,-2,0
Infinity,Infinity,5,-2,0
Infinity,Infinity,5,-2,0
